"Name","Brief Description","Proximity","Street Address","City","State","Zip Code","Phone Number","Web Site","Hours of Operation"
"Shalom Senior Center Food Provider","Food pantry with kosher food.","","483 Albany Avenue","BROOKLYN","NY","11203","(718) 774-9213","","Mon - Thur: 2:00 PM - 3:00 PM, Fri: 1:00 PM - 2:00 PM"
"Shiloh Church of Christ","Food pantry.","","5-7 West 128th Street","NEW YORK","NY","10027","(212) 534-7292","","Thu: 12:00 PM - 2:00 PM"
"Shiloh Church of Christ","Soup kitchen.","","5-7 West 128th Street","NEW YORK","NY","10027","(212) 534-7292","","Thu: 12:00 PM - 2:00 PM"
"Shiloh Seventh Day Adventist","Food pantry.","","449 Eastern Parkway","BROOKLYN","NY","11216","(718) 771-4103","","Thu: 9:30 AM - 11:30 AM"
"Shiloh Temple Pentecostal Church","Food pantry.","","719 East 223rd Street","BRONX","NY","10466","(718) 882-8909","","Tue: 9:00 AM - 1:00 PM"
"Shiloh Temple Pentecostal Church","Soup kitchen.","","719 East 223rd Street","BRONX","NY","10466","(718) 882-8909","","Thu: 12:00 PM - 1:00 PM, Sun: 9:30 AM - 10:30 AM"
"Shorefront Jewish Community Council","Food pantry with kosher food.","","128 Brighton Beach Avenue ","BROOKLYN","NY","11235","(718) 743-0575","","Mon - Thu: 9:00 AM - 5:00 PM, Fri : 9 AM - 2 PM"
"Siloam Presbyterian Church Food Pantry Food Provider","Food pantry.","","270 Jefferson Avenue","BROOKLYN","NY","11216","(718) 789-7050","","Wed: 10:00 AM - 12:00 PM"
"Soc SVPD at St Catherine's","Food pantry.","","520 Linden Boulevard","BROOKLYN","NY","11203","(718) 282-7162","","Thu: 10:30 AM - 1:30 PM"
"Solid Rock Baptist Church","Food pantry. ","","120 Tompkins Avenue","BROOKLYN","NY","11206","(718) 384-8764","","Mon, Thu: 9:30 AM - 12:00 PM"
"Solid Rock Seventh Day Adventist Church","Food pantry.","","5205 Rockaway Beach Boulevard","FAR ROCKAWAY","NY","11691","(718) 474-9306","","Wed: 10:00 AM - 11:00 AM"
"South Brooklyn Seventh Day Adventist Church Community Service Program","Food pantry.","","42 Prospect Place","BROOKLYN","NY","11217","(718) 783-1662","","Sun: 11:00 AM - 2:00 PM"
"Southern Baptist Church","Soup kitchen.","","12 West 108th Street","NEW YORK","NY","10025","(212) 663-6549","","Wed: 12:00 PM - 1:30 PM"
"St Ann's Church of Morrisania","Food pantry.","","295 St. Ann's Avenue","BRONX","NY","10454","(718) 585-5632","","Wed, Fri: 10:30 AM - 2:00 PM"
"St Ann's Church of Morrisania","Soup kitchen.","","295 St. Ann's Avenue","BRONX","NY","10454","(718) 585-5632","","Sun: 11:30 AM - 2:00 PM"
"St Anthony's Baptist Church ","Soup kitchen.  ","","425 Utica Avenue","BROOKLYN","NY","11213","(718) 778-3459","","Tue, Wed, Thu: 12:00 PM - 1:00 PM"
"St Augustine's American Catholic Church","Food pantry.","","298 Schenectady Avenue","BROOKLYN","NY","11213","(718) 773-1338","","Fri: 12:00 PM - 3:00 PM"
"St Augustine's Church","Food pantry.","","116 6th Avenue","BROOKLYN","NY","11217","(718) 783-3132","","Sat: 10:00 AM - 12:00 PM"
"St Augustine's Food Pantry","Food pantry.","","1168 Franklin Avenue","BRONX","NY","10456","(718) 893-0072","","Sat: 10:30 AM - 1:30 PM"
"St Benedict's Church","Food pantry.","","265 Decatur Street","BROOKLYN","NY","11233","(718) 778-8700","","Wed: 11:00 AM - 1:00 PM"
"St Cecilia's Parish Services","Food pantry.","","125 East 105th Street","NEW YORK","NY","10029","(212) 348-0488","","Wed, Thu: 9:30 AM - 11:00 AM"
"St Charles Borromeo Church","Food pantry.","","211 West 141st Street","NEW YORK","NY","10030","(212) 281-2100","","Sat: 8:30 AM - 10:00 AM"
"St Edmund's Youth Programs","Food pantry.","","1905 Morris Avenue","BRONX","NY","10453","(718) 466-9370","","Thu: 12:00 PM - 2:00 PM"
"St Edward's Food Pantry","Food pantry.","","6581 Hylan Boulevard","STATEN ISLAND","NY","10309","(718) 984-1625","","Mon, Wed, Sat: 10:00 AM - 1:00 PM"
"St John's Bread and Life Food Pantry","Soup kitchen.","","795 Lexington Avenue","BROOKLYN","NY","11206","(718) 574-0058","","Mon - Fri: 8:00 AM - 9:30 AM, 10:30 AM - 12:30 PM"
"St John's Bread and Life Food Pantry","Food pantry.","","795 Lexington Avenue","BROOKLYN","NY","11206","(718) 574-0058","","Mon - Thu: 9:00 AM - 10:30 AM"
"St John's Bread of Life","Food pantry.","","213 West 30th Street","NEW YORK","NY","10001","(212) 564-9070","","Wed: 12:15 PM - 2:30 PM"
"St Joseph's Soup Kitchen","Soup kitchen.","","371 6th Avenue","NEW YORK","NY","10014","(212) 741-1274","","Sat: 1:30 PM - 3:00 PM"
"St Luke's Baptist Church","Food pantry. ","","133-28 232nd Street","SPRINGFIELD GARDENS","NY","11413","(718) 276-7066","","Wed: 12:00 PM - 1:00 PM"
"St Luke's Senior Community Program","Food pantry. Open every 1st and 2nd Wednesday. ","","777 East 222nd Street","BRONX","NY","10467","(718) 882-3060","","Wed: 10:00 AM - 1:00 PM"
"St Luke's Senior Community Program","Soup kitchen.","","777 East 222nd Street","BRONX","NY","10467","(718) 882-3060","","Mon - Fri: 12:00 PM - 1:00 PM"
"St Margaret Mary Church","Food pantry.","","9-18 27th Avenue","ASTORIA","NY","11102","(718) 721-9020","","Tue, Wed, Thur: 11:00 AM - 12:00 PM"
"St Mark the Evangelist Church","Food pantry. ","","65 West 138th Street","NEW YORK","NY","10037","(212) 281-4931","","Sat: 10:00 AM - 11:00 AM, 12:00 PM - 1:00 PM, except for the fifth Saturday of each month."
"St Mark's African Methodist Episcopal The Voices of Hagar","Food pantry.","","95-18 Northern Boulevard","JACKSON HEIGHTS","NY","11372","(718) 205-0506","","Tue: 12:00 PM - 2:30 PM"
"St Mark's Church of Christ","Soup kitchen. ","","439 Ralph Avenue","BROOKLYN","NY","11233","(718) 467-3719","","Mon, Wed, and Fri: 12:00 PM - 1:00 PM"
"St Mary Star of the Sea","Food pantry.","","19-20 New Haven Avenue","FAR ROCKAWAY","NY","11691","(718) 327-1133","","Tue, Fri: 1:00 PM - 2:30 PM"
"St Mary's Episcopal Church","Food pantry.","","521 West 126th Street","NEW YORK","NY","10027","(212) 864-4013","","Mon: 4:30 PM - 6:00 PM"
"St Matthew's Roman Catholic Church","Food pantry.","","1342 Lincoln Place","BROOKLYN","NY","11213","(718) 774-6747","","Tue (1st, 2nd, 3rd, 4th): 9:00 AM - 12:00 PM"
"St Nicholas of Tolentine Church - Food Pantry","Food pantry.","","150-75 Goethals Avenue","JAMAICA","NY","11432","(718) 969-3226","","Thu: 9:00 AM - 12:00 PM"
"St Paul Pentecostal Church","Food pantry.","","133 Thomas S Boyland Street","BROOKLYN","NY","11233","(917) 604-9644","","Sat: 11:00 AM - 1:00 PM"
"St Paul's House, Inc","Food pantry.","","335 West 51st Street","NEW YORK","NY","10019","(212) 265-5433","","Tue: 10:00 AM - 11:30 AM"
"St Paul's Lutheran Church","Food pantry.","","1891 Mcgraw Avenue","BRONX","NY","10462","(718) 822-4535","","Fri: 8:00 AM - 10:00 AM"
"St Peter's Church Breakfast Program","Soup kitchen.","","619 Lexington Avenue","NEW YORK","NY","10022","(212) 935-2200","","Tue: 6:00 AM - 8:00 AM "
"St Peter's Food Pantry","Food pantry.","","346 West 20th Street","NEW YORK","NY","10011","(212) 929-2390","","Wed: 10:00 AM - 11:00 PM; Sat: 10:30 AM - 11:30 AM"
"St Philip's Christian Church","Food pantry.","","765 Lafayette Avenue","BROOKLYN","NY","11221","(718) 453-0691","","Thu: 12:30 PM - 2:30 PM"
"St Raphael's Church Food Pantry","Food pantry. ","","35-20 Greenpoint Avenue","LONG ISLAND CITY","NY","11101","(718) 729-8957","","Thu: 10:30 AM - 12:00 PM; Sat: 1:30 PM - 3:00 PM"
"St Teresa of Avila Community Services","Food pantry.","","129-04 109th Avenue","SOUTH OZONE PARK","NY","11420","(718) 529-3587","","Mon, Thu: 9:00 AM -11:00 AM"
"St Therese of Lisiuex Roman Catholic Church","Food pantry.","","4410 Avenue D","BROOKLYN","NY","11203","(718) 451-0683","","Tue: 10:30 AM - 12:00 PM"
"Stapleton United African Methodist Episcopal Church","Soup kitchen.","","49 Tompkins Avenue","STATEN ISLAND","NY","10304","(718) 273-2857","","Mon: 3:00 PM - 4:00 PM; Wed: 12:00 PM - 1:00 PM"
"Staten Island Seventh Day Adventist Church","Food pantry.","","80 Union Avenue","STATEN ISLAND","NY","10303","(718) 442-4806","","Sun: 10:00 AM - 2:00 PM"
"Sunset Park Emergency Food Program","Food pantry.","","443 39th Street","BROOKLYN","NY","11232","(718) 492-3585","","Tue: 10:00 AM - 1:00 PM; Wed and Thu: 11:00 AM - 1:00 PM"
"Tabernacle of Prayer","Food pantry.","","90-07 Merrick Boulevard","JAMAICA","NY","11432","(718) 657-4210","","Fri: 10:00 AM - 11:00 AM"
"Taurus Associates, Inc","Food pantry.","","230-04 Edgewood Avenue","SPRINGFIELD GARDENS","NY","11413","(718) 526-2177","","Tue: 9:30 AM - 11:00 AM"
"Teen Challenge","Soup kitchen. ","","444 Clinton Avenue ","BROOKLYN","NY","11238","(718) 789-1414 x243","","Mon, Wed, Thu: 10:30 AM - 11:45 AM and 3:30 PM - 4:45 PM"
"Temple Shaaray Tefila","Soup kitchen.","","250 East 79th Street","NEW YORK","NY","10021","(212) 535-8008","","Wed: 12:00 PM - 1:00 PM"
"The Church of Saint Mark","Food pantry.  ","","1417 Union Street","BROOKLYN","NY","11213","(718) 756-6607","","Mon: 5:00 PM - 8:00 PM"
"The Church of the Village-Hope For Our Neighbors In Need","Food pantry.","","201 West 13th Street","NEW YORK","NY","10011","(212) 243-5470","","Tue: 1:00 PM - 2:30 PM"
"The Community Food Pantry ","Food pantry with kosher food. This location is open on Tuesdays, Thursdays, and the first Saturday of the month. ","","1363 Ogden Avenue","BRONX","NY","10452","(718) 960-2262","","Tue: 10:00 AM - 12:00 PM; Thurs: 1:00 PM - 3:00 PM; Sat: 10:00 AM - 12:00 PM"
"The Harding Food Vision Inc.","Soup kitchen. ","","157-22 South Road","JAMAICA","NY","11433","(718) 291-9281","","Wed: 10:00 AM - 12:00 PM"
"The Harding Food Vision Inc.","Food pantry.","","157-22 South Road","JAMAICA","NY","11433","(718) 291-9281","","Mon: 3:00 PM - 5:00 PM; Wed: 10:00 AM - 2:00 PM"
"The Salvation Army Astoria Corps","Food pantry.","","45-18 Broadway","ASTORIA","NY","11103","(718) 721-9046","","Wed: 9:30 AM - 10:30 AM"
"The Salvation Army Bedford Temple Corps","Food pantry.","","601 Lafayette Avenue","BROOKLYN","NY","11216","(718) 622-9020","","Wed: 10:00 AM - 12:00 PM"
"The Salvation Army Bronx Citadel","Food pantry.","","425 East 159th Street","BRONX","NY","10451","(718) 665-8472","","Tue: 10:30 AM - 12:30 PM"
"The Salvation Army Bronx Citadel","Soup kitchen.","","425 East 159th Street","BRONX","NY","10451","(718) 665-8472","","Mon, Wed, Fri: 1:00 PM - 2:00 PM"
"The Salvation Army Bushwick Corps","Soup kitchen.","","1151 Bushwick Avenue","BROOKLYN","NY","11221","(718) 455-4102","","Mon, Tues, Thurs, Fri: 12:30 PM - 2:00 PM"
"The Salvation Army Bushwick Corps","Food pantry.","","1151 Bushwick Avenue","BROOKLYN","NY","11221","(718) 455-4102","","Mon, Tue, Thu, Fri: 10:00 AM - 12:00 PM"
"The Salvation Army Jamaica Citadel Corps","Soup kitchen.","","90-23 161st Street","JAMAICA","NY","11432","(718) 297-4860","","Mon - Wed: 12:00 PM - 1:00 PM"
"The Salvation Army Jamaica Citadel Corps","Food pantry.","","90-23 161st Street","JAMAICA","NY","11432","(718) 297-4860","","Thu: 10:00 AM - 11:00 AM"
"The Salvation Army Manhattan Citadel","Food pantry.","","145 East 125th Street","NEW YORK","NY","10035","(212) 860-3200","","Mon - Fri: 9:00 AM - 4:00 PM"
"The Salvation Army New York Corps","Food pantry.","","132 West 14th Street","NEW YORK","NY","10011","(212) 337-7467","","Mon-Fri: 9:00 AM - 3:00 PM"
"The Salvation Army New York Temple Corps","Food pantry.","","132 West 14th Street","NEW YORK","NY","10011","(212) 337-7467","","Mon - Fri: 9:30 AM - 11:00 AM; 1:30 PM - 3:00 PM"
"The Salvation Army Stapleton Corps","Soup kitchen.","","15 Broad Street","STATEN ISLAND","NY","10304","(718) 448-8480","","Mon and Fri: 11:00 AM - 12:00 PM"
"The Salvation Army Sunset Park Corps","Soup kitchen.","","520 50th Street","BROOKLYN","NY","11220","(718) 438-1771","","Mon - Fri: 12:00 PM - 1:00 PM"
"The Salvation Army Sunset Park Corps","Food pantry.","","520 50th Street","BROOKLYN","NY","11220","(718) 438-1771","","Tue - Fri: 9:00 AM - 3:00 PM"
"The Salvation Army Temple Corps","Soup kitchen.","","86-07 35th Avenue","JACKSON HEIGHTS","NY","11372","(718) 335-3693","","Tue: 12:00 PM - 1:00 PM"
"Thessalonia Baptist Church ","Food pantry.","","941 Rev James A Polite Avenue","BRONX","NY","10459","(718) 542-0828","","Tue: 10:30 AM - 11:30 AM"
"Thorpe Family Residence","Food pantry.","","406 East 184th Street","BRONX","NY","10457","(718) 295-2550","","Wed: 8:30 AM - 9:30 AM"
"Thurston Memorial Outreach Ministries","Soup kitchen.","","1243 Bushwick Avenue","BROOKLYN","NY","11221","(718) 452-3646","","Fri: 5:00 PM - 7:30 PM"
"Thurston Memorial Outreach Ministries","Food pantry.","","1243 Bushwick Avenue","BROOKLYN","NY","11221","(718) 452-3646","","Fri: 5:00 PM - 7:30 PM"
"Tolentine Zeiser Community Life","Food pantry.","","2345 University Avenue","BRONX","NY","10468","(718) 220-2824","","Wed: 9:00 AM - 11:00 AM"
"Tolentine Zeiser Community Life Center","Food pantry. ","","1261 Shakespeare Avenue","BRONX","NY","10452","(917) 549-8958","","Fri: 9:00 AM - 11:00 AM"
"Tomche Shabbos of Boro Park ","Food pantry with kosher food.","","6225 New Utrecht Avenue","BROOKLYN","NY","11219","(718) 259-5576","","Thu: 3:00 PM - 5:00 PM"
"Transfiguration Church","Food pantry.","","263 Marcy Avenue","BROOKLYN","NY","11211","(718) 388-8773","","Mon - Thu: 9:00 AM - 2:00 PM"
"Transfiguration Lutheran Church","Food pantry.","","763 Prospect Avenue","BRONX","NY","10455","(718) 378-3588","","Mon: 1:30 PM - 3:00 PM "
"Trinity Human Service Corporation","Food pantry.","","153A Johnson Avenue","BROOKLYN","NY","11206","(718) 388-3176","","Tue - Fri: 9:00 AM - 12:00 PM, 1:00 PM - 4:00 PM"
"Trinity's Services and Food for the Homeless, Inc","Soup kitchen.","","602 East 9th Street","NEW YORK","NY","10009","(212) 228-5254","","Mon - Fri: 11:00 AM - 12:00 PM"
"Trinity's Services and Food for the Homeless, Inc","Food pantry.","","602 East 9th Street","NEW YORK","NY","10009","(212) 228-5254","","Mon - Thur: 12:30 PM - 1:30 PM"
"Triumphant Full Gospel Assembly","Food pantry.","","889 Rutland Road","BROOKLYN","NY","11203","(718) 774-4696","","Thu: 4:00 PM - 6:00 PM"
"True Gospel Tabernacle","Food pantry.","","1 West Tremont Avenue","BRONX","NY","10453","(718) 901-2786","","Thu: 11:00 AM - 12:30 PM"
"True Holy Church of God in Christ Jesus","Food pantry.","","2336 Atlantic Avenue","BROOKLYN","NY","11233","(718) 385-0248","","Sat: 10:00 AM - 12:00 PM"
"Union Baptist Church","Food pantry.","","461 Decatur Street","BROOKLYN","NY","11233","(718) 452-7248","","Wed: 12:00 PM - 2:00 PM"
"Union Baptist Church","Soup kitchen.","","461 Decatur Street","BROOKLYN","NY","11233","(718) 452-7248","","Wed: 12:00 PM - 2:00 PM"
"United Bronx Parents Food Provider I","Soup kitchen.","","603 Prospect Avenue","BRONX","NY","10455","(718) 991-7100","","Mon-Fri: 2:30 PM - 4:00 PM"
"United Church of Praise International Ministries, Inc","Food pantry.","","32 Sands Street","STATEN ISLAND","NY","10304","(718) 314-8779","","Fri: 1:00 PM - 3:00 PM;  Sun: 1:00 PM - 3:00 PM"
"United Community Baptist Church","Food pantry.","","545 Utica Avenue","BROOKLYN","NY","11236","(718) 467-7708","","Sat: 10:00 AM - 12:00PM"
"United Methodist Center in Far Rockaway","Soup kitchen.","","1032 Beach 19th Street","FAR ROCKAWAY","NY","11691","(718) 327-5071","","Mon - Fri: 11:00 AM - 12:00 PM"
"United Methodist Center in Far Rockaway","Food pantry.","","1032 Beach 19th Street","FAR ROCKAWAY","NY","11691","(718) 327-5071","","Tue, Thu: 9:00 AM - 10:00 AM"
"University Community Social Services, Inc","Soup kitchen.","","137 East 2nd Street","NEW YORK","NY","10009","(347) 850-2230","","Sat: 9:30 AM - 10:30 AM, 1:00 PM - 2:30 PM"
"Upper Manhattan Mental Health Center Incorporated","Food pantry.","","1727 Amsterdam Avenue","NEW YORK","NY","10031","(212) 694-9200","","Tue, Wed, Thu: 2:00 PM - 4:00 PM"
"Urban Strategies Family Support Program","Food pantry.","","61-71 Riverdale Avenue ","BROOKLYN","NY","11212","(718) 346-2539","","Tue: 8:00 AM - 10:00 AM"
"VETS, Inc","Food pantry.","","111-16 173rd Street","JAMAICA","NY","11433","(718) 206-2376","","Fri: 10:00 AM - 12:00 PM"
"Vets Inc. Locust Manor Senior Residence ","Food pantry.","","170-06 Baisley Blvd","JAMAICA","NY","11433","(646) 261-1973","","Thu: 4:30 PM - 5:30 PM"
"Vineyard International Christian Ministries","Food pantry.","","1140 Teller Avenue","BRONX","NY","10456","(718) 538-9211","","Sat: 10:00 AM - 12:00 PM"
"Washington Heights Ecumenical Food Pantry","Food pantry.","","4111 Broadway","NEW YORK","NY","10033","(212) 795-6860","","Thu: 10:00 AM - 2:00 PM"
"We Care Kitchen Little Rock Baptist Church","Soup kitchen.","","375 Bristol Street","BROOKLYN","NY","11212","(718) 495-6722","","Tue, Thu: 11:30 AM - 1:00 PM"
"West Harlem Group Assistance","Food pantry.","","625 Lenox Avenue ","NEW YORK","NY","10031","(212) 690-7900","","Wed: 10:00 AM – 12:00 PM; SENIORS ONLY Wed: 1:30 - 3:00 PM"
"Westside Campaign Against Hunger","Food pantry.","","263 West 86th Street","NEW YORK","NY","10024","(212) 362-3662","","Mon, Wed - Fri: 8:00 AM - 12:00 PM, 1:00 PM - 3:00 PM"
"Whedco","Food pantry.","","50 East 168th Street","BRONX","NY","10452","(718) 839-1100","","Wed: 9:30 AM - 11:30 AM"
"Whosoever Will Baptist Church","Food pantry.","","1651 Popham Avenue","BRONX","NY","10433","(718) 229-5333","","Sat: 9:00 AM -  11:00 AM"
"Willis Avenue United Methodist","Soup kitchen.","","401 East 141st Street","BRONX","NY","10455","","","Tue - Fri: 3:00 PM - 5:00 PM"
"Winner Chapel Inc Food Pantry","Food pantry.","","153-56 Rockaway Boulevard","JAMAICA","NY","11434","(718) 528-3334","","Sat: 4:00 PM - 6:00 PM"
"Woodycrest United Methodist Church","Soup kitchen. ","","89 West 166 Street ","BRONX","NY","10452","(718) 538-7500","","Wed: 12:00 PM - 2:00 PM"
"Worldwide Evangelical Outreach","Food pantry.","","3102 Clarendon Road","BROOKLYN","NY","11226","(718) 284-3551","","Thu: 1:00 PM - 3:00 PM"
"Worldwide Missionary Movement - Centro Evangelistico","Food pantry.","","148 Post Avenue","NEW YORK","NY","10034","(212) 567-5620","","Sat: 9:00 AM - 1:00 PM"
"Xavier Mission Inc","Soup kitchen.","","55 West 15th Street","NEW YORK","NY","10011","(212) 627-2100","","Sun: 12:30 PM - 3:00 PM"
"Zichron Acheinu Levy-Meachem Tzion","Food pantry with kosher food.","","928 44TH STREET","BROOKLYN","NY","11219","(347) 742-0552","","Fri: 12:00 PM - 1:00 PM"
